smiles,synthon_id,synthon_number,bb_id
COC(=O)CC(N)C=1C=CC=CC1Cl,2734334,1,EN300-23255
Cl.COC(=O)C(N)CC=1C=CC=CC1,2735030,1,EN300-04537
Cl.COC(=O)C=1C=C(CN)C=CC1OC,2735032,1,EN300-08509
Cl.COC(=O)CC(N)C=1C=CC(OC)=C(OC)C1,2735036,1,EN300-23095
Cl.COC(=O)CC(N)C=1C=CC(OC)=CC1,2735040,1,EN300-30310
Cl.COC(=O)CC(N)C=1C=CC(C)=CC1,2735044,1,EN300-23416
Cl.COC(=O)CC(N)C=1C=CC(F)=CC1,2735052,1,EN300-54503
CCOC(=O)C1CCCNC1,2991702,1,EN300-20335
Cl.COC(=O)CC(N)C=1C=CC(Cl)=CC1,3007328,1,EN300-30123
Cl.COC(=O)CCCN,3007498,1,EN300-09346
Cl.CNCCCC(=O)OC,3007518,1,EN300-39276
Cl.COC(=O)CC(N)C1=CC=CS1,3089672,1,EN300-27632
Cl.COC(=O)C=1C=CC(CCN)=CC1,3160448,1,EN300-36219
Cl.COC(=O)C1CC21CCNCC2,4873030,1,EN300-77145
CCOC(=O)C1CCNCC1,5523852,1,EN300-19517
COC(=O)C=1C=CC(N)=CC1,7039642,1,EN300-16169
Cl.COC(=O)C=1SC(N)=CC1C,7129758,1,EN300-14294
Cl.CCOC(=O)CCN,7290816,1,EN300-56458
COC(=O)C=1C=CC=C(N)C1C,7326404,1,EN300-30596
Cl.COC(=O)C(N)CC(C)C,7326412,1,EN300-07724
Cl.COC(=O)CC(N)C=1C=CC(Br)=CC1,7326414,1,EN300-30311
COC(=O)CC1NCCNC1=O,7326416,1,EN300-04013
Cl.COC(=O)CC(N)C=1C=CC(OC(F)(F)F)=CC1,7326424,1,EN300-44009
Cl.CCOC(=O)CC(N)C=1C=CC=C(OC)C1,7326426,1,EN300-45177
CCNCCC(=O)OC,7326434,1,EN300-51182
Cl.COC(=O)CC(N)C=1C=CC=C(Br)C1,7326438,1,EN300-53610
Cl.COC(=O)C(N)C=1C=CC(Br)=CC1,7326474,1,EN300-59667
Cl.COC(=O)C(N)C=1C=CC=CC1C(F)(F)F,7326502,1,EN300-66401
Cl.COC(=O)CCC(N)C=1C=CC=CC1,7326506,1,EN300-70627
Cl.COC(=O)C(N)CC1=CNC=2C=CC=CC12,7326510,1,EN300-04827
Cl.COC(=O)CCC(C)(C)N,7326516,1,EN300-76038
CCNCC(=O)OCC,7326520,1,EN300-51310
COCCNCCC(=O)OC,7326526,1,EN300-76397
Cl.COC(=O)CC(N)C=1C=CC(=CC1)C(C)(C)C,7326558,1,EN300-82392
Cl.COC(=O)CC1CSCCN1,7326560,1,EN300-83430
COC(=O)C=1C=C(N)C(OC)=C(OC)C1,7326590,1,EN300-86003
Cl.COC(=O)C(C)C(N)C=1C=CC=CC1,7326612,1,EN300-98159
Cl.COC(=O)CC(N)C1CC1,7326620,1,EN300-104164
COC(=O)C=1C=CC(C)=C(N)C1,7326626,1,EN300-18881
COC(=O)C=1C=CC=C(N)C1,7326632,1,EN300-17769
Cl.COC(=O)CCCCCN,7326640,1,EN300-10519
COC(=O)CNC(=O)C=1C=CC(N)=CC1,7326646,1,EN300-34384
Cl.COC(=O)CC(C)N,7326648,1,EN300-34467
Cl.COC(=O)C1=CSC(=C1)S(=O)(=O)N2CCNCC2,7326650,1,EN300-23464
Cl.CNCC1=CC(C(=O)OC)=C(C)O1,7326654,1,EN300-23922
COC(=O)CCNC(=O)C=1C=CC(N)=CC1,7326656,1,EN300-27619
COC(=O)C=1C=C(N)C=CC1F,7326658,1,EN300-27642
COC(=O)C=1C=CC=C(C#CC=2C=CC=C(N)C2)C1,7326660,1,EN300-27699
Cl.CCOC(=O)CN,7326666,1,EN300-45099
Cl.COC(=O)C=1C=CC=C(CN)C1,7326668,1,EN300-49200
COC(=O)CNC(=O)CC=1C=CC(N)=CC1,7326678,1,EN300-41571
Cl.CNCC=1C=CC(=CC1)C(=O)OC,7326696,1,EN300-33547
Cl.COC(=O)C=1C=C(CN)OC1C,7326698,1,EN300-35643
COC(=O)C1=CN(N=N1)C=2C=CC(N)=CC2,7326700,1,EN300-35652
CCOC(=O)C=1C=NN(C1C(F)(F)F)C=2C=CC(N)=CC2,7326704,1,EN300-36295
CCOC(=O)C=1C=CN(N1)C=2C=CC=C(N)C2,7326710,1,EN300-39908
CCOC(=O)C=1C=NN(C1C(F)(F)F)C=2C=CC=C(N)C2,7326712,1,EN300-37089
Cl.COC(=O)CCCCCCN,7326714,1,EN300-38922
Cl.CCOC(=O)C1=CC=C(O1)S(=O)(=O)N2CCNCC2,7326718,1,EN300-39530
CNCC(C)C(=O)OC,7326720,1,EN300-39943
CCOC(=O)C1CCC(N)CC1,7326726,1,EN300-49734
COC(=O)CN1C=CC(N)=N1,7326728,1,EN300-67072
COC(=O)COC=1C=CC(N)=C(C)C1,7326730,1,EN300-50666
CCOC(=O)C=1C=CN(N1)C=2C=CC(N)=CC2,7326734,1,EN300-52364
Cl.CCOC(=O)C=1C=CC(CN)=CC1,7326736,1,EN300-52595
Cl.CCOC=1C=CC(CC(CN)C(=O)OC)=CC1,7326740,1,EN300-55170
Cl.COC(=O)CCCCN,7326746,1,EN300-56454
Cl.CCOC(=O)CN1C=CC=2C=C(N)C=CC12,7326748,1,EN300-61143
Cl.COC(=O)C1=CC=CN1C2CCNCC2,7326752,1,EN300-64141
CCOC(=O)C1CCN(CC1)C(=O)CNC,7326754,1,EN300-65015
Cl.COC(=O)C(C)CN,7326756,1,EN300-64705
Cl.CCOC(=O)C=1OC=2C=CC=CC2C1CN,7326760,1,EN300-65797
Cl.COC(=O)C=1SC=2C=CC=CC2C1CN,7326770,1,EN300-68340
